name,name_lc,name_lc_metaphone,name_lc_arpabet
Abdullah bin Nasser bin Abdullah Al Ahmed Al Thani,abdullah bin nasser bin abdullah al ahmed al thani,ABTL BN NSR BN ABTL AL AMT AL 0N,AE2BDAH1LAH0 BIH1N NAE1SER0 BIH1N AE2BDAH1LAH0 AE1L AA1MAH0D AE1L THAA1NIY0
Abdullah bin Nasser bin Khalifa Al Thani,abdullah bin nasser bin khalifa al thani,ABTL BN NSR BN KHLF AL 0N,AE2BDAH1LAH0 BIH1N NAE1SER0 BIH1N KAH0LIY1FAH0 AE1L THAA1NIY0
Abdullah bin Zayed Al Nahyan,abdullah bin zayed al nahyan,ABTL BN SYT AL NYN,AE2BDAH1LAH0 BIH1N ZEY1AH0D AE1L NEY1HHIY0AH0N
Abdullah the Butcher,abdullah the butcher,ABTL 0 BXR,AE2BDAH1LAH0 DHAH0 BUH1CHER0
Abdullahi Yusuf Ahmed,abdullahi yusuf ahmed,ABTLH YSF AMT,AE2BDAH2LUW1IY0 YUW1SAH0F AA1MAH0D
Abdur Raheem Green,abdur raheem green,ABTR RHM KRN,AH0BDER1 RAH0HHIY1M GRIY1N
Abelardo L. Rodríguez,abelardo l. rodríguez,ABLRT L RTRKS,AE2BAH0LAA1RDOW0 EH1L . RAA0DRIY1GEH0Z
Abner J. Mikva,abner j. mikva,ABNR J MKF,AE1BNER0 JHEY1 . MIH1KVAH0
Abraham Isaac Kook,abraham isaac kook,ABRHM ISK KK,EY1BRAH0HHAE2M AY1ZAH0K KUW1K
Absalom Willis Robertson,absalom willis robertson,ABSLM WLS RBRTSN,AE1BSAH0LAH0M WIH1LIH0S RAA1BER0TSAH0N
Abu Ammaar Yasir Qadhi,abu ammaar yasir qadhi,AB AMR YSR KTH,AE1BUW0 AE1MAH0R YAA1SER0 KAE1DHHIY0
Abu Asim Azmi,abu asim azmi,AB ASM ASM,AE1BUW0 AH0SIY1M AE1ZMIY0
Abu Ayyub al-Ansari,abu ayyub al-ansari,AB AYB ALNSR,AE1BUW0 EY1IH0BUW0 AE2LAA0NZAA1RIY0
Abu Bakar Bashir,abu bakar bashir,AB BKR BXR,AE1BUW0 BAH0KAA1R BAH0SHIH1R
Abu Dhar al-Ghifari,abu dhar al-ghifari,AB THR ALKHFR,AE1BUW0 DAA1R AE2LFAH0GAA1REY0
Abu Faraj al-Libbi,abu faraj al-libbi,AB FRJ ALLB,AE1BUW0 FEH1REY0 AA0LBIY1AH0PIY0
Abu Hamza al-Masri,abu hamza al-masri,AB HMS ALMSR,AE1BUW0 HHAE1MZAH0 AA0LMAA1SER0IY0
Abu Mansoor Al-Amriki,abu mansoor al-amriki,AB MNSR ALMRK,AE1BUW0 MAE1NSAO0R AE2LAA0MAA1RIH0KIY0
Abu Yahya al-Libi,abu yahya al-libi,AB YY ALLB,AE1BUW0 YAH1YAH0 AA0LIY1BIY0
Abubakar Tafawa Balewa,abubakar tafawa balewa,ABBKR TFW BLW,AH0BUW1KAH0BER0 TAA0FAA1WAH0 BAH0LUW1AH0
Abul A'la Maududi,abul a'la maududi,ABL AL MTT,AH0BAH1L EY1LAH0 MOW0DUW1TIY0
Abul Hasan Ali Hasani Nadwi,abul hasan ali hasani nadwi,ABL HSN AL HSN NTW,AH0BAH1L HHEY1ZAH0N AA1LIY0 HHAA0SAA1NIY0 NAE1DWIY0
"Ada \""Bricktop\"" Smith","ada \""bricktop\"" smith",AT BRKTP SM0,EY1DAH0 BRIH1KTAA2P SMIH1TH
Adam Clayton Powell,adam clayton powell,ATM KLTN PWL,AE1DAH0M KLEY1TAH0N PAW1AH0L
Adam G. Sevani,adam g. sevani,ATM K SFN,AE1DAH0M JHIY1 . SAH0VAA1NIY0
